A,B,C,D,E
52,54,8,11,66
22,10,52,47,77
2,69,58,65,18
91,13,23,19,68
53,23,36,33,73
100,96,80,30,86
56,32,19,21,12
76,87,71,7,13
87,85,33,88,14
44,44,9,96,31
56,96,51,99,56
57,63,100,56,43
8,84,100,45,50
52,45,17,87,76
35,34,72,3,85
60,55,38,88,54
28,95,69,98,81
100,65,7,71,50
86,4,39,13,87
7,90,27,54,33
55,73,97,24,75
73,15,26,53,82
38,30,39,72,4
35,31,48,7,95
24,26,96,31,90
2,54,49,84,42
64,44,18,97,48
47,86,17,36,39
92,87,97,91,54
10,85,18,13,53
87,47,98,69,33
49,41,20,50,61
78,88,17,98,30
96,76,30,11,33
49,32,82,68,47
12,73,67,91,3
88,42,54,82,7
99,0,81,96,25
38,35,94,56,4
6,28,42,3,40
31,57,9,11,62
94,60,97,95,62
51,7,9,92,27
98,8,49,100,86
40,86,25,43,8
97,25,8,67,40
3,48,76,25,81
94,23,22,91,62
62,57,49,5,60
70,94,61,9,76
20,56,89,52,81
71,88,75,15,72
96,51,79,39,18
96,66,92,53,89
90,19,36,88,91
25,42,68,92,82
36,15,50,64,58
93,63,69,8,98
34,94,96,22,42
56,12,93,36,53
69,15,3,82,15
83,66,46,76,70
21,37,6,43,14
57,8,31,84,69
49,5,28,23,61
16,85,15,51,27
89,43,50,49,46
29,91,61,74,97
66,67,24,97,42
10,54,93,46,38
16,39,83,49,57
1,2,2,28,73
79,15,99,66,96
86,61,7,29,40
85,66,85,27,59
87,2,2,5,72
41,86,40,72,66
75,10,55,57,75
2,10,58,59,18
72,40,29,53,88
33,25,67,75,48
46,20,61,31,43
24,70,98,78,59
4,16,94,17,74
44,66,61,86,34
11,42,91,2,47
94,85,23,30,87
77,71,28,81,39
97,30,36,59,96
68,56,35,70,72
83,82,46,9,27
52,73,99,87,68
98,82,71,77,69
50,75,25,25,18
7,75,50,70,79
88,73,87,16,51
52,43,21,43,21
95,5,48,95,100
85,1,8,45,62
2,46,79,18,97
68,70,29,15,18
79,20,58,13,26
70,28,43,79,95
16,7,84,76,74
25,89,29,42,30
54,53,42,82,61
85,83,94,46,8
20,24,43,9,23
87,66,58,72,15
71,84,20,30,23
61,18,75,97,70
15,50,12,61,32
69,6,97,91,16
20,64,21,23,63
11,5,44,6,8
6,56,82,82,42
24,66,8,10,95
39,40,40,15,6
83,58,13,37,3
99,7,64,34,7
38,94,17,37,75
73,60,40,58,30
26,23,14,7,93
65,60,47,2,46
50,21,44,87,79
27,88,76,58,68
42,100,58,88,35
100,8,18,79,48
64,43,85,99,98
76,11,88,89,80
85,8,100,47,35
0,48,25,29,59
88,97,14,4,13
67,72,41,35,92
6,44,65,12,91
27,44,59,66,88
56,54,53,22,49
7,66,29,47,73
99,77,99,62,55
19,38,22,41,26
14,71,90,73,89
20,12,21,16,77
71,78,47,95,25
67,40,3,12,13
25,83,15,61,100
6,16,65,12,99
70,51,29,34,55
