NU_ANO_CENSO;SG_UF;NO_MUNICIPIO;TP_DEPENDENCIA;QT_MAT_BAS;QT_DOC_BAS;IN_AGUA_FILTRADA;IN_BIBLIOTECA;IN_INTERNET;COLUNA_OBSOLETA
2023;SP;Belo Horizonte;3;1098;87;0;1;1;
2023;PE;Recife;3;1251;61;1;0;1;
2023;PE;Belo Horizonte;2;565;49;0;0;0;
2023;RS;Salvador;2;;23;0;0;1;
2023;BA;Salvador;3;288;59;1;0;1;
2023;BA;Salvador;3;101;78;1;1;1;
2023;BA;Campinas;2;518;113;0;0;1;
2023;RS;Rio de Janeiro;3;680;75;1;1;1;
2023;SP;Campinas;3;;63;0;0;1;
2023;BA;Recife;2;;9;0;1;0;
2023;BA;Campinas;4;;13;1;0;1;
2023;SP;São Paulo;2;1169;112;1;0;1;
2023;PE;Belo Horizonte;2;691;90;1;0;0;
2023;RS;Campinas;4;;69;1;1;1;
2023;BA;Recife;2;;53;1;1;0;
2023;SP;São Paulo;3;721;92;1;1;1;
2023;RS;Campinas;2;738;63;1;0;1;
2023;RS;Recife;1;1362;29;1;0;1;
2023;MG;Campinas;3;430;54;1;1;0;
2023;CE;Recife;2;1007;27;1;1;1;
2023;MG;São Paulo;4;980;87;1;;0;
2023;RJ;Salvador;3;1152;32;1;0;1;
2023;RS;Campinas;2;590;17;0;1;1;
2023;RS;Belo Horizonte;2;;42;0;1;1;
2023;SP;São Paulo;1;97;44;1;0;1;
2023;PE;Porto Alegre;3;877;;1;1;1;
2023;RS;Porto Alegre;4;565;54;1;0;1;
2023;PE;Recife;3;300;43;1;1;0;
2023;SP;Campinas;3;292;;1;1;1;
2023;RJ;Rio de Janeiro;2;540;104;1;1;1;
2023;BA;Belo Horizonte;3;517;;1;1;1;
2023;SP;Recife;2;127;88;0;0;0;
2023;CE;São Paulo;3;;65;1;1;1;
2023;RJ;Recife;2;614;48;0;1;1;
2023;RJ;Campinas;2;890;24;1;1;1;
2023;MG;São Paulo;2;1169;98;1;0;1;
2023;RJ;Salvador;1;855;53;1;0;0;
2023;BA;Belo Horizonte;3;685;10;1;0;1;
2023;BA;Campinas;4;1339;6;0;0;0;
2023;RS;Campinas;3;;27;1;1;1;
2023;CE;Belo Horizonte;1;;32;1;1;1;
2023;SP;Rio de Janeiro;2;667;87;1;1;1;
2023;RS;Belo Horizonte;1;;108;1;1;0;
2023;PE;Porto Alegre;4;875;45;1;0;1;
2023;CE;Salvador;2;366;61;1;0;1;
2023;BA;Belo Horizonte;2;;39;1;0;1;
